Username,Likes,Comments,Timestamp,Caption,TP_scores,EH_scores,ratings match?,avg,Number incorrect,
lalactation,6283,6,2024-06-20T14:09:59.000Z,"Side lying bottle feeding offers several advantages, particularly in terms of positioning and mimicking the natural breastfeeding experience. This method allows baby to be in a more relaxed and comfortable position, which can reduce the risk of choking and overfeeding as gravity aids in the natural flow of milk. The side-lying position also closely resembles the way a baby nurses at the breast, promoting a familiar experience for baby. 

Using your breastfeeding pillow is a great way to support baby in this position. The pillow provides stability through baby’s trunk while allowing your arm to rest without tension. The other advantage of feeding in this position is the ability to pump at the same time. There are many families who are in the middle of triple feeding, which is very time consuming. By bottle feeding in side lying at the breast (but not in the breast), the ability to pull at the same time is still there, streamlining the overall timing of the feeding. This picture shows how to have baby in a side lying bottle feeding position on the breastfeeding pillow while still having room for the pump flanges and pumping. It should be taking around 15 minutes to bottle feed baby, and most pumping sessions are between 15-20 minutes. 

#pumpingmom #triplefeeding #pumpingmilk #nursingbra #pumpingbra #milkstorage",3,2,incorrect,2.5,29,round 2
legendairymilk,1593,257,2019-09-04T01:09:50.000Z,"Parallel pumping is a technique coined by Kathleen McCue of @metropolitanbreastfeeding. It involves using a breastpump to pump one breast while simultaneously nursing baby on the other. Kathleen recommends using a pumping bra to hold the pump in place, then latching baby to the other breast. ⁣
⁣
If you are currently caught in the arduous cycle of triple feeding (nursing, then double pumping, then supplementing baby with your pumped milk) to increase supply, you may find the parallel pumping technique much more manageable. Instead of triple feeding, you would parallel pump at every feeding and then supplement with your pumped milk, if necessary. ⁣
⁣
Parallel pumping can also be done when you need to create a stash for your return to work or school. You can do this a few times a day, or only when you happen to need some extra milk. Have you tried parallel pumping? ⁣
📷: @suchabelladaughter",1,1,correct,1,14,round 3
legendairymilk,1462,179,2019-10-14T16:30:40.000Z,"Join us tonight at 7:00 pm CST/8:00 pm EST for a live chat with Kathleen McCue from @littlebeamnursingpillows. She’s an International Board Certified Lactation Consultant (IBCLC) and family nurse practitioner and she’ll be discussing the benefits of parallel pumping. Parallel pumping is when you use a breast pump on one breast while simultaneously nursing baby on the other breast. Some benefits of parallel pumping include double stimulation to breasts to increase milk production, facilitating easier letdowns for infants that need assistance and reducing the need for triple feeding. ⁣
⁣
Comment below if you’ll be joining the chat and post your questions for Kathleen!⁣",1,1,correct,1,,
halieannfox,1005,62,2021-04-25T23:04:59.000Z,"𝗡𝗼𝗿𝗺𝗮𝗹𝗶𝘇𝗲 𝗯𝗿𝗲𝗮𝘀𝘁𝗳𝗲𝗲𝗱𝗶𝗻𝗴. But not even just that, normalize how 𝗛𝗔𝗥𝗗 breastfeeding can be.⁣
⁣
I see photos like this of others and think “wow that looks so easy” but that’s not the case for a lot of us mamas, including me.⁣
⁣
In these photos, the boys didn’t have great latches. Everett was kinda chompy and Landon wasn’t deep enough + was hurting my nipple lol. But they were getting milk (I felt a let down).⁣
⁣
Truth is, I did it for the photos. I’ve nursed maybe 3-4 times like this, with little success. I like to nurse them solo so I have better control & can get a better latch.⁣
⁣
Sometimes we have a great session & they’re satisfied. ⁣
⁣
Sometimes they are so hangry that their arms are flailing and I can’t get them to latch well enough and we both get frustrated. ⁣
⁣
Sometimes it doesn’t feel right and I have to relatch ten times. ⁣
⁣
Sometimes they cry because the milk isn’t immediate like a bottle. ⁣
⁣
But I will never stop 𝘁𝗿𝘆𝗶𝗻𝗴, at least once a day, because the bond and the one on one time is too special. I love their warm little bodies against mine and their smiles when they start to fall asleep nursing. ⁣
⁣
𝘐 𝘸𝘢𝘯𝘵 𝘵𝘰 𝘳𝘦𝘮𝘦𝘮𝘦𝘣𝘳 𝘵𝘩𝘦𝘴𝘦 𝘮𝘰𝘮𝘦𝘯𝘵𝘴 𝘢𝘯𝘥 𝘥𝘢𝘺𝘴 𝘧𝘰𝘳𝘦𝘷𝘦𝘳.⁣
⁣
I asked Kyle to take these photos so I can look back at the beginning and remember how small they were and how tough things were, with the hope that tandem breastfeeding will eventually get easier for us. (It’s hard as it is nursing with large boobs, now add in trying to support + keep latched two newborns... it’s not easy.)⁣
⁣
#normalizebreastfeeding #tandemnursing #tandembreastfeeding #twins #thefoxtwins #twinzpillow #twinlife #twinmomma #pumpingmom #triplefeeding #newborns #kylefoxphotography",2,2,correct,2,,
thebetterboob,814,186,2022-05-20T23:56:29.000Z,"So what is “Triple Feeding”??

This means you are feeding baby at the breast, then supplementing followed by pumping to protect your supply. You are feeding three ways in a sense. This is not meant to be a forever thing. It is honestly not sustainable physically or mentally.

Triple feeding can be beneficial for a short period of time but it is important to figure out WHY you are needing to triple feed in the first place. 

Are you having low supply? Is baby not transferring enough? There is a reason for this! It is important to work with a LC to figure out what exactly is going on. Remember, I like to call  us LC’s detectives! 

Have you ever had to do triple feeding? Tell me your experience in the comments ⬇️⬇️⬇️",2,2,correct,2,,
happyhealthyeaters,755,25,2024-02-12T22:25:10.000Z,"I’m a Registered Dietitian by profession but also a high-achiever by nature. I set out with the intention of breastfeeding my baby but I always remained open to the idea of having to offer my babe formula, if necessary. Because sometimes, breastfeeding just doesn’t work the way the textbook says it will.

When my baby was born, he was immediately placed on my chest. His cries were like music to my ears. I remember slowly motioning him towards my breast and I expected him to magically open his mouth nice and wide, clench, and start sucking.

That did NOT happen.

Instead, a flurry of things I didn’t expect:
✅Low blood sugar for baby
✅Poor latch
✅Nipple shield (saved us!)
✅A lot of pumping
✅SNS feeding
✅Domperidone
✅A lot of IBCLC visits 

I write more about our journey, and how eventually it turned out exactly as I hoped. ✨

It was my reminder to see the end from the beginning. 

if you could offer any advice to a new parent regarding feeding, what would it be? 

Read it here: https://happyhealthyeaters.com/breastfeeding-is-hard/

#breastfeeding #nursing #triplefeeding #pumpingmom #lactationsupport #nutrition #winnipegdietitian #fingerfeeding #chestfeeding #makingmilk",2,2,correct,2,,
lalactation,740,87,2023-05-06T20:11:01.000Z,"Triple feeding is a TEMPORARY plan lactation consultants will put patients on to help them reach their infant feeding goals. It may be used when there is low supply or baby is not latching well. It involves three parts to feeding:
1. Latching baby, often for a set amount of time
2. Supplementing the baby, by bottle, tube at the breast, cup or syringe
3. Pumping to increase or maintain supply

This plan is EXHAUSTING because congratulations you now have unexpected twins: you’re feeding the baby and your pump which doubles the amount of work you’re doing. This should really be done under the care of an IBCLC with an exit plan or directions for how to pivot. If you were given this plan in the hospital, but no follow up appointment was set or detailed plan for how and when to shift, that was unfair. For some, doing this too long can create a massive oversupply, which has its own issues. For others, this will leave them deflated and abandoning breastfeeding before they were ready. 

If you’re on a triple feeding plan, why? Is it truly from the maternal side because of low supply? Find the root. Is it from a medication or thyroid issue or a blood loss from birth? Targeting those should see an increase in supply and a decrease in the need to pump and supplement. Is it from a poorly feeding baby? Have ties been assessed and addressed? Is baby a preemie but nearing full term? If a baby is not feeding well from the breast and there is plenty of milk, this is not a parent issue but a baby issue that needs appropriately managed. In my experience it’s almost always a tongue tie driving the struggle and a multidisciplinary team (pediatric dentist/ENT, occupational/physical/speech therapist, chiropractor and/or craniosacral therapist) are needed to help get baby back on track. 

Were you on a triple feeding plan? 

#triplefeeding #triplefeed #pumpingisbreastfeeding #pumpingmom #tonguetiebabies #tonguetierelease #tonguetie",1,1,correct,1,,
milksprouts,730,79,2020-01-31T13:57:25.000Z,"Can any other mamas relate?
.
I also LOVE LOVE LOVE getting messages from moms I'm working with after weight checks as they share the good news that everything we are implementing is working and baby is now trending in the right direction 🙌🏻🙌🏻 .
.
.
.
.
.
#boobshavesuperpowers #breastfedbaby #weightcheck ##laboroflove #pregnantchicken #pregnancyhealth #pregnancylife #breastfeedingmom #bottlefedbaby #triplefeeding #handexpression #milkmakingmama #liquidlove #liquidgold",3,2,incorrect,2.5,,
themilkmanual,504,88,2021-06-04T00:14:00.000Z,"whenever i mention “Triple Feeding”, or TF for short, people often DM me to ask what it is. so i made this post to summarize it! 

long story short, triple feeding can be exhausting and confusing and definitely should be a plan established with some guidance! if you feel like you need a TF plan or was given a TF plan with no further assistance, def reach out to an IBCLC for further assistance. 

have you ever had to triple feed? are you triple feeding now?! share your experience and any tips for other families doing the same 🙂 #triplefeeding #momshelpingmoms #houstonlactationconsultant",2,2,correct,2,,
babyfeeding.coach,499,139,2023-02-27T15:59:07.000Z,"Triple feeding...is...so...hard...

While some moms never have to worry about it, the recommendation to triple feed is very common, especially in the first few days of baby's life.

What does triple feeding do? It increases the amount demanded and triggers to your brain to start producing more milk.

If you continue to demand more and more, yet your body is not producing more and more after 5ish days, I want to know WHY.

IMO, all moms who are triple feeding should be under the care of a lactation professional + a pediatric provider. If supply does increase or milk ""comes in"", have a weaning plan in place. If milk supply doesn't increase to meet baby's demands, I want to know WHY.

The most important thing is that your baby is fed and gaining weight. The worst thing would be that baby keeps losing weight or is not getting enough calories to support important daily activities like eating and short wake windows.

I want your newborn to be a bit feisty - I always pause when a parent tells me their newborn is ""chill"".

Need help on your combo-feeding journey? The Simple Guide to Combination Feeding will be available NEXT WEEK to help guide you through combo-feeding for the first year.

Did you have to triple-feed? How long? What made it easier for you?

#newbornbaby #triplefeeding #combofeeding #newmamalife #lowmilksupply #lowsupply #newbornfeeding #babyfeeding",2,2,correct,2,,
